id,county,county_name,year,labor,employed,unemployed,unemplyment_rate
01,001,"Autauga County, AL",2018,25957,25015,942,3.6
01,003,"Baldwin County, AL",2018,93849,90456,3393,3.6
01,005,"Barbour County, AL",2018,8373,7940,433,5.2
01,007,"Bibb County, AL",2018,8661,8317,344,4
01,009,"Blount County, AL",2018,25006,24128,878,3.5
01,011,"Bullock County, AL",2018,4776,4552,224,4.7
01,013,"Butler County, AL",2018,8914,8487,427,4.8
01,015,"Calhoun County, AL",2018,45972,43833,2139,4.7
01,017,"Chambers County, AL",2018,15276,14679,597,3.9
01,019,"Cherokee County, AL",2018,11622,11207,415,3.6
01,021,"Chilton County, AL",2018,19476,18773,703,3.6
01,023,"Choctaw County, AL",2018,4694,4434,260,5.5
01,025,"Clarke County, AL",2018,7627,7057,570,7.5
01,027,"Clay County, AL",2018,5963,5730,233,3.9
01,029,"Cleburne County, AL",2018,5743,5499,244,4.2
01,031,"Coffee County, AL",2018,20817,19995,822,3.9
01,033,"Colbert County, AL",2018,23258,22184,1074,4.6
01,035,"Conecuh County, AL",2018,4494,4259,235,5.2
01,037,"Coosa County, AL",2018,4376,4193,183,4.2
01,039,"Covington County, AL",2018,15617,14902,715,4.6
01,041,"Crenshaw County, AL",2018,6298,6041,257,4.1
01,043,"Cullman County, AL",2018,37830,36589,1241,3.3
01,045,"Dale County, AL",2018,20120,19274,846,4.2
01,047,"Dallas County, AL",2018,14860,13887,973,6.5
01,049,"DeKalb County, AL",2018,30129,28979,1150,3.8
01,051,"Elmore County, AL",2018,37215,35932,1283,3.4
01,053,"Escambia County, AL",2018,14352,13696,656,4.6
01,055,"Etowah County, AL",2018,43096,41328,1768,4.1
01,057,"Fayette County, AL",2018,6482,6215,267,4.1
01,059,"Franklin County, AL",2018,14203,13673,530,3.7
01,061,"Geneva County, AL",2018,10851,10425,426,3.9
01,063,"Greene County, AL",2018,2838,2647,191,6.7
01,065,"Hale County, AL",2018,5991,5686,305,5.1
01,067,"Henry County, AL",2018,6766,6466,300,4.4
01,069,"Houston County, AL",2018,45150,43325,1825,4
01,071,"Jackson County, AL",2018,23241,22286,955,4.1
01,073,"Jefferson County, AL",2018,314014,302359,11655,3.7
01,075,"Lamar County, AL",2018,5721,5503,218,3.8
01,077,"Lauderdale County, AL",2018,42141,40375,1766,4.2
01,079,"Lawrence County, AL",2018,13919,13336,583,4.2
01,081,"Lee County, AL",2018,74654,71951,2703,3.6
01,083,"Limestone County, AL",2018,42393,40890,1503,3.5
01,085,"Lowndes County, AL",2018,3625,3360,265,7.3
01,087,"Macon County, AL",2018,7816,7389,427,5.5
01,089,"Madison County, AL",2018,179752,173532,6220,3.5
01,091,"Marengo County, AL",2018,7589,7209,380,5
01,093,"Marion County, AL",2018,12549,12036,513,4.1
01,095,"Marshall County, AL",2018,42598,41157,1441,3.4
01,097,"Mobile County, AL",2018,187406,178608,8798,4.7
01,099,"Monroe County, AL",2018,7158,6716,442,6.2
01,101,"Montgomery County, AL",2018,105579,101360,4219,4
01,103,"Morgan County, AL",2018,56339,54356,1983,3.5
01,105,"Perry County, AL",2018,3397,3175,222,6.5
01,107,"Pickens County, AL",2018,7805,7449,356,4.6
01,109,"Pike County, AL",2018,15230,14544,686,4.5
01,111,"Randolph County, AL",2018,9538,9155,383,4
01,113,"Russell County, AL",2018,23753,22798,955,4
01,115,"St. Clair County, AL",2018,39683,38296,1387,3.5
01,117,"Shelby County, AL",2018,112891,109672,3219,2.9
01,119,"Sumter County, AL",2018,4768,4487,281,5.9
01,121,"Talladega County, AL",2018,34978,33481,1497,4.3
01,123,"Tallapoosa County, AL",2018,17772,17028,744,4.2
01,125,"Tuscaloosa County, AL",2018,101569,97855,3714,3.7
01,127,"Walker County, AL",2018,25132,24064,1068,4.2
01,129,"Washington County, AL",2018,6667,6278,389,5.8
01,131,"Wilcox County, AL",2018,2734,2472,262,9.6
01,133,"Winston County, AL",2018,9781,9371,410,4.2
02,013,"Aleutians East Borough, AK",2018,2321,2252,69,3
02,016,"Aleutians West Census Area, AK",2018,3615,3487,128,3.5
02,020,"Anchorage Borough/municipality, AK",2018,151950,143602,8348,5.5
02,050,"Bethel Census Area, AK",2018,7400,6455,945,12.8
02,060,"Bristol Bay Borough, AK",2018,441,413,28,6.3
02,068,"Denali Borough, AK",2018,1088,1003,85,7.8
02,070,"Dillingham Census Area, AK",2018,2027,1861,166,8.2
02,090,"Fairbanks North Star Borough, AK",2018,46101,43426,2675,5.8
02,100,"Haines Borough, AK",2018,1092,988,104,9.5
02,232,"Hoonah-Angoon Census Area, AK",2018,1158,1012,146,12.6
02,110,"Juneau Borough/city, AK",2018,17232,16470,762,4.4
02,122,"Kenai Peninsula Borough, AK",2018,26497,24453,2044,7.7
02,130,"Ketchikan Gateway Borough, AK",2018,7026,6604,422,6
02,150,"Kodiak Island Borough, AK",2018,6210,5848,362,5.8
02,270,"Kusilvak Census Area, AK",2018,2708,2169,539,19.9
02,164,"Lake and Peninsula Borough, AK",2018,739,653,86,11.6
02,170,"Matanuska-Susitna Borough, AK",2018,47654,44014,3640,7.6
02,180,"Nome Census Area, AK",2018,4113,3636,477,11.6
02,185,"North Slope Borough, AK",2018,3413,3173,240,7
02,188,"Northwest Arctic Borough, AK",2018,2924,2508,416,14.2
02,195,"Petersburg Borough, AK",2018,1404,1282,122,8.7
02,201,"Prince of Wales-Hyder Census Area, AK",2018,2899,2584,315,10.9
02,220,"Sitka Borough/city, AK",2018,4408,4225,183,4.2
02,230,"Skagway Municipality, AK",2018,836,754,82,9.8
02,240,"Southeast Fairbanks Census Area, AK",2018,2940,2658,282,9.6
02,261,"Valdez-Cordova Census Area, AK",2018,4849,4488,361,7.4
02,280,"Wrangell Borough/city, AK",2018,1051,977,74,7
02,282,"Yakutat Borough/city, AK",2018,245,225,20,8.2
02,290,"Yukon-Koyukuk Census Area, AK",2018,2545,2156,389,15.3
04,001,"Apache County, AZ",2018,20665,18585,2080,10.1
04,003,"Cochise County, AZ",2018,49774,46985,2789,5.6
04,005,"Coconino County, AZ",2018,77083,72850,4233,5.5
04,007,"Gila County, AZ",2018,21518,20251,1267,5.9
04,009,"Graham County, AZ",2018,14878,14114,764,5.1
04,011,"Greenlee County, AZ",2018,4280,4098,182,4.3
04,012,"La Paz County, AZ",2018,8938,8381,557,6.2
04,013,"Maricopa County, AZ",2018,2229526,2137219,92307,4.1
04,015,"Mohave County, AZ",2018,85442,80508,4934,5.8
04,017,"Navajo County, AZ",2018,40598,37447,3151,7.8
04,019,"Pima County, AZ",2018,486261,464433,21828,4.5
04,021,"Pinal County, AZ",2018,178216,169264,8952,5
04,023,"Santa Cruz County, AZ",2018,19325,17522,1803,9.3
04,025,"Yavapai County, AZ",2018,105618,100899,4719,4.5
04,027,"Yuma County, AZ",2018,97636,80997,16639,17
05,001,"Arkansas County, AR",2018,9070,8762,308,3.4
05,003,"Ashley County, AR",2018,7683,7263,420,5.5
05,005,"Baxter County, AR",2018,16463,15785,678,4.1
05,007,"Benton County, AR",2018,134404,130532,3872,2.9
05,009,"Boone County, AR",2018,15856,15295,561,3.5
05,011,"Bradley County, AR",2018,4362,4166,196,4.5
05,013,"Calhoun County, AR",2018,2404,2310,94,3.9
05,015,"Carroll County, AR",2018,12639,12233,406,3.2
05,017,"Chicot County, AR",2018,3340,3110,230,6.9
05,019,"Clark County, AR",2018,9580,9214,366,3.8
05,021,"Clay County, AR",2018,5835,5579,256,4.4
05,023,"Cleburne County, AR",2018,9174,8758,416,4.5
05,025,"Cleveland County, AR",2018,3302,3173,129,3.9
05,027,"Columbia County, AR",2018,8991,8562,429,4.8
05,029,"Conway County, AR",2018,8198,7840,358,4.4
05,031,"Craighead County, AR",2018,54120,52462,1658,3.1
05,033,"Crawford County, AR",2018,26861,25899,962,3.6
05,035,"Crittenden County, AR",2018,21467,20542,925,4.3
05,037,"Cross County, AR",2018,7441,7131,310,4.2
05,039,"Dallas County, AR",2018,2811,2687,124,4.4
05,041,"Desha County, AR",2018,5443,5196,247,4.5
05,043,"Drew County, AR",2018,7757,7369,388,5
05,045,"Faulkner County, AR",2018,61476,59460,2016,3.3
05,047,"Franklin County, AR",2018,7406,7140,266,3.6
05,049,"Fulton County, AR",2018,4805,4613,192,4
05,051,"Garland County, AR",2018,40797,39146,1651,4
05,053,"Grant County, AR",2018,8321,8062,259,3.1
05,055,"Greene County, AR",2018,19755,19064,691,3.5
05,057,"Hempstead County, AR",2018,9908,9555,353,3.6
05,059,"Hot Spring County, AR",2018,13993,13466,527,3.8
05,061,"Howard County, AR",2018,5922,5717,205,3.5
05,063,"Independence County, AR",2018,16222,15560,662,4.1
05,065,"Izard County, AR",2018,4869,4599,270,5.5
05,067,"Jackson County, AR",2018,5786,5430,356,6.2
05,069,"Jefferson County, AR",2018,28066,26582,1484,5.3
05,071,"Johnson County, AR",2018,10445,9972,473,4.5
05,073,"Lafayette County, AR",2018,2497,2366,131,5.2
05,075,"Lawrence County, AR",2018,6858,6589,269,3.9
05,077,"Lee County, AR",2018,2917,2776,141,4.8
05,079,"Lincoln County, AR",2018,4041,3867,174,4.3
05,081,"Little River County, AR",2018,5485,5196,289,5.3
05,083,"Logan County, AR",2018,8749,8396,353,4
05,085,"Lonoke County, AR",2018,33853,32766,1087,3.2
05,087,"Madison County, AR",2018,7426,7213,213,2.9
05,089,"Marion County, AR",2018,6506,6237,269,4.1
05,091,"Miller County, AR",2018,19722,18772,950,4.8
05,093,"Mississippi County, AR",2018,17510,16515,995,5.7
05,095,"Monroe County, AR",2018,2746,2627,119,4.3
05,097,"Montgomery County, AR",2018,3036,2890,146,4.8
05,099,"Nevada County, AR",2018,3613,3485,128,3.5
05,101,"Newton County, AR",2018,3312,3200,112,3.4
05,103,"Ouachita County, AR",2018,9755,9301,454,4.7
05,105,"Perry County, AR",2018,4248,4071,177,4.2
05,107,"Phillips County, AR",2018,6608,6202,406,6.1
05,109,"Pike County, AR",2018,4255,4078,177,4.2
05,111,"Poinsett County, AR",2018,10269,9874,395,3.8
05,113,"Polk County, AR",2018,8003,7670,333,4.2
05,115,"Pope County, AR",2018,28998,27702,1296,4.5
05,117,"Prairie County, AR",2018,3568,3429,139,3.9
05,119,"Pulaski County, AR",2018,189210,182612,6598,3.5
05,121,"Randolph County, AR",2018,7175,6890,285,4
05,123,"St. Francis County, AR",2018,8320,7891,429,5.2
05,125,"Saline County, AR",2018,57716,55923,1793,3.1
05,127,"Scott County, AR",2018,4380,4219,161,3.7
05,129,"Searcy County, AR",2018,2957,2829,128,4.3
05,131,"Sebastian County, AR",2018,57075,55032,2043,3.6
05,133,"Sevier County, AR",2018,5549,5290,259,4.7
05,135,"Sharp County, AR",2018,5798,5522,276,4.8
05,137,"Stone County, AR",2018,4801,4583,218,4.5
05,139,"Union County, AR",2018,15960,15074,886,5.6
05,141,"Van Buren County, AR",2018,5921,5610,311,5.3
05,143,"Washington County, AR",2018,122569,119378,3191,2.6
05,145,"White County, AR",2018,33786,32308,1478,4.4
05,147,"Woodruff County, AR",2018,2829,2695,134,4.7
05,149,"Yell County, AR",2018,8505,8148,357,4.2
06,001,"Alameda County, CA",2018,848215,822769,25446,3
06,003,"Alpine County, CA",2018,547,522,25,4.6
06,005,"Amador County, CA",2018,14706,14117,589,4
