id	Year	Period	labor force participation rate	employment-population ratio	labor force	employment	unemployment	unemployment rate
1	2010	Jan	59	52.1	2144182	1893169	251013	11.7
1	2010	Feb	58.9	52.1	2143881	1895920	247961	11.6
1	2010	Mar	58.9	52.2	2142133	1898914	243219	11.4
1	2010	Apr	59.6	53.2	2202028	1964959	237069	10.8
1	2010	May	59.9	53.7	2215715	1985529	230186	10.4
1	2010	Jun	59.8	53.8	2215606	1991532	224074	10.1
1	2010	Jul	59.7	53.8	2212806	1992510	220296	10
1	2010	Aug	59.6	53.7	2211477	1991908	219569	9.9
1	2010	Sep	59.6	53.7	2212523	1990948	221575	10
1	2010	Oct	59.7	53.6	2215139	1990369	224770	10.1
1	2010	Nov	59.7	53.6	2217545	1990270	227275	10.2
1	2010	Dec	59.7	53.6	2218306	1990304	228002	10.3
1	2011	Jan	59.7	53.5	2217245	1990151	227094	10.2
1	2011	Feb	59.6	53.5	2214781	1989525	225256	10.2
1	2011	Mar	59.5	53.5	2211546	1988337	223209	10.1
1	2011	Apr	59.4	53.4	2208494	1986912	221582	10
1	2011	May	59.3	53.4	2206536	1985926	220610	10
1	2011	Jun	59.2	53.3	2205399	1985894	219505	10
1	2011	Jul	59.2	53.4	2204490	1987195	217295	9.9
1	2011	Aug	59.1	53.4	2202706	1989639	213067	9.7
1	2011	Sep	59	53.4	2198917	1992593	206324	9.4
1	2011	Oct	58.8	53.5	2193291	1995331	197960	9
1	2011	Nov	58.6	53.5	2186335	1997246	189089	8.6
1	2011	Dec	58.4	53.5	2179075	1998090	180985	8.3
1	2012	Jan	58.2	53.5	2173177	1998157	175020	8.1
1	2012	Feb	58.1	53.5	2170249	1998044	172205	7.9
1	2012	Mar	58.1	53.4	2170701	1997949	172752	8
1	2012	Apr	58.1	53.4	2173301	1997920	175381	8.1
1	2012	May	58.2	53.4	2176682	1998414	178268	8.2
1	2012	Jun	58.2	53.4	2179696	1999858	179838	8.3
1	2012	Jul	58.2	53.5	2181117	2002056	179061	8.2
1	2012	Aug	58.2	53.5	2181066	2004772	176294	8.1
1	2012	Sep	58.2	53.6	2180876	2008050	172826	7.9
1	2012	Oct	58.1	53.6	2181018	2011534	169484	7.8
1	2012	Nov	58.1	53.7	2181645	2014832	166813	7.6
1	2012	Dec	58.1	53.7	2182661	2017815	164846	7.6
1	2013	Jan	58.1	53.7	2181055	2017941	163114	7.5
1	2013	Feb	58	53.7	2180812	2019734	161078	7.4
1	2013	Mar	58	53.8	2179552	2021069	158483	7.3
1	2013	Apr	57.9	53.8	2178107	2022206	155901	7.2
1	2013	May	57.9	53.8	2176524	2022526	153998	7.1
1	2013	Jun	57.8	53.7	2174765	2021523	153242	7
1	2013	Jul	57.7	53.6	2173167	2019444	153723	7.1
1	2013	Aug	57.6	53.5	2171405	2016769	154636	7.1
1	2013	Sep	57.6	53.4	2169270	2013925	155345	7.2
1	2013	Oct	57.5	53.3	2167625	2011611	156014	7.2
1	2013	Nov	57.5	53.3	2167180	2010357	156823	7.2
1	2013	Dec	57.4	53.3	2167665	2010100	157565	7.3
1	2014	Jan	57.4	53.3	2167589	2010442	157147	7.2
1	2014	Feb	57.4	53.3	2168122	2011318	156804	7.2
1	2014	Mar	57.4	53.3	2167611	2011797	155814	7.2
1	2014	Apr	57.3	53.2	2165472	2011409	154063	7.1
1	2014	May	57.2	53.2	2162335	2010805	151530	7
1	2014	Jun	57.1	53.2	2159591	2011006	148585	6.9
1	2014	Jul	57.1	53.2	2157687	2012088	145599	6.7
1	2014	Aug	57	53.2	2156791	2013967	142824	6.6
1	2014	Sep	57	53.3	2156474	2016370	140104	6.5
1	2014	Oct	56.9	53.3	2155862	2018798	137064	6.4
1	2014	Nov	56.9	53.3	2154576	2020730	133846	6.2
1	2014	Dec	56.8	53.4	2153458	2022147	131311	6.1
1	2015	Jan	56.9	53.4	2155229	2025225	130004	6
1	2015	Feb	56.9	53.4	2156195	2026213	129982	6
1	2015	Mar	56.9	53.5	2158191	2027365	130826	6.1
1	2015	Apr	57	53.5	2160755	2028665	132090	6.1
1	2015	May	57	53.5	2162849	2029647	133202	6.2
1	2015	Jun	57	53.5	2163514	2029908	133606	6.2
1	2015	Jul	57	53.4	2162981	2029739	133242	6.2
1	2015	Aug	56.9	53.4	2162075	2029663	132412	6.1
1	2015	Sep	56.9	53.4	2161765	2030331	131434	6.1
1	2015	Oct	56.9	53.4	2162971	2032300	130671	6
1	2015	Nov	56.9	53.5	2165764	2035509	130255	6
1	2015	Dec	57	53.6	2169206	2039299	129907	6
1	2016	Jan	57.1	53.7	2172388	2042932	129456	6
1	2016	Feb	57.1	53.7	2174756	2045861	128895	5.9
1	2016	Mar	57.1	53.8	2175985	2047937	128048	5.9
1	2016	Apr	57.1	53.8	2176610	2049567	127043	5.8
1	2016	May	57.1	53.8	2177744	2051324	126420	5.8
1	2016	Jun	57.2	53.8	2179914	2053478	126436	5.8
1	2016	Jul	57.2	53.9	2182979	2056026	126953	5.8
1	2016	Aug	57.3	53.9	2186380	2058626	127754	5.8
1	2016	Sep	57.3	54	2189475	2060940	128535	5.9
1	2016	Oct	57.4	54	2191550	2062982	128568	5.9
1	2016	Nov	57.4	54	2192334	2065186	127148	5.8
1	2016	Dec	57.3	54.1	2191838	2067861	123977	5.7
1	2017	Jan	57.3	54.2	2190329	2071081	119248	5.4
1	2017	Feb	57.2	54.2	2188348	2074705	113643	5.2
1	2017	Mar	57.1	54.3	2186288	2078249	108039	4.9
1	2017	Apr	57.1	54.4	2184662	2081749	102913	4.7
1	2017	May	57	54.5	2183769	2085452	98317	4.5
1	2017	Jun	57	54.5	2183742	2089327	94415	4.3
1	2017	Jul	57	54.6	2184590	2093230	91360	4.2
1	2017	Aug	57	54.7	2185775	2096855	88920	4.1
1	2017	Sep	57	54.8	2186882	2099944	86938	4
1	2017	Oct	57	54.8	2187906	2102409	85497	3.9
1	2017	Nov	57	54.8	2189013	2104285	84728	3.9
1	2017	Dec	57.1	54.9	2190664	2106038	84626	3.9
1	2018	Jan	57.1	54.9	2193503	2108270	85233	3.9
1	2018	Feb	57.2	55	2197940	2111603	86337	3.9
1	2018	Mar	57.4	55.1	2203652	2116089	87563	4
1	2018	Apr	57.5	55.2	2209336	2120773	88563	4
1	2018	May	57.6	55.3	2213939	2124833	89106	4
1	2018	Jun	57.7	55.4	2217374	2128455	88919	4
1	2018	Jul	57.7	55.4	2219912	2132025	87887	4
1	2018	Aug	57.8	55.5	2222360	2135951	86409	3.9
1	2018	Sep	57.8	55.6	2225266	2140433	84833	3.8
1	2018	Oct	57.9	55.7	2228692	2145326	83366	3.7
1	2018	Nov	57.9	55.8	2232417	2150295	82122	3.7
1	2018	Dec	58	55.9	2235806	2154840	80966	3.6
1	2019	Jan	58.1	56	2237931	2158471	79460	3.6
1	2019	Feb	58	56	2238155	2160923	77232	3.5
1	2019	Mar	58	56.1	2237126	2162757	74369	3.3
1	2019	Apr	58	56.1	2236130	2164945	71185	3.2
1	2019	May	57.9	56.2	2236013	2167956	68057	3
1	2019	Jun	57.9	56.3	2237028	2171639	65389	2.9
1	2019	Jul	58	56.3	2239558	2176144	63414	2.8
1	2019	Aug	58	56.4	2242626	2180477	62149	2.8
1	2019	Sep	58.1	56.5	2245766	2184271	61495	2.7
1	2019	Oct	58.1	56.5	2247981	2186771	61210	2.7
1	2019	Nov	58.1	56.5	2248190	2186809	61381	2.7
1	2019	Dec	58.1	56.5	2247886	2186356	61530	2.7
1	2020	Jan	58.1	56.5	2247721	2186652	61069	2.7
1	2020	Feb	58	56.4	2243967	2184248	59719	2.7
2	2010	Jan	70.1	64.4	360551	331605	28946	8
2	2010	Feb	70.1	64.4	360671	331758	28913	8
2	2010	Mar	70.1	64.5	360805	331968	28837	8
2	2010	Apr	70	64.4	360965	332248	28717	8
2	2010	May	69.9	64.4	361150	332605	28545	7.9
2	2010	Jun	69.8	64.3	361348	333011	28337	7.8
2	2010	Jul	69.7	64.3	361603	333436	28167	7.8
2	2010	Aug	69.6	64.2	361986	333880	28106	7.8
2	2010	Sep	69.6	64.2	362510	334353	28157	7.8
2	2010	Oct	69.6	64.2	363144	334876	28268	7.8
2	2010	Nov	69.6	64.2	363800	335426	28374	7.8
2	2010	Dec	69.6	64.2	364371	335950	28421	7.8
2	2011	Jan	69.6	64.2	364782	336406	28376	7.8
2	2011	Feb	69.5	64.2	365003	336768	28235	7.7
2	2011	Mar	69.4	64.1	365077	337045	28032	7.7
2	2011	Apr	69.3	64.1	365121	337303	27818	7.6
2	2011	May	69.3	64	365247	337610	27637	7.6
2	2011	Jun	69.2	64	365500	337993	27507	7.5
2	2011	Jul	69.1	64	365887	338432	27455	7.5
2	2011	Aug	69.1	64	366325	338848	27477	7.5
2	2011	Sep	69.1	64	366676	339160	27516	7.5
2	2011	Oct	69.1	63.9	366859	339342	27517	7.5
2	2011	Nov	69	63.9	366844	339398	27446	7.5
2	2011	Dec	68.9	63.8	366674	339373	27301	7.4
2	2012	Jan	68.8	63.7	366425	339328	27097	7.4
2	2012	Feb	68.7	63.7	366158	339301	26857	7.3
2	2012	Mar	68.6	63.6	365907	339291	26616	7.3
2	2012	Apr	68.5	63.6	365649	339247	26402	7.2
2	2012	May	68.4	63.5	365425	339189	26236	7.2
2	2012	Jun	68.3	63.4	365279	339191	26088	7.1
2	2012	Jul	68.2	63.4	365206	339296	25910	7.1
2	2012	Aug	68.2	63.4	365197	339480	25717	7
2	2012	Sep	68.2	63.4	365256	339678	25578	7
2	2012	Oct	68.2	63.4	365327	339822	25505	7
2	2012	Nov	68.1	63.4	365360	339883	25477	7
2	2012	Dec	68.1	63.3	365333	339858	25475	7
2	2013	Jan	68	63.3	365252	339758	25494	7
2	2013	Feb	68	63.2	365142	339624	25518	7
2	2013	Mar	67.9	63.2	365061	339539	25522	7
2	2013	Apr	67.9	63.2	365073	339583	25490	7
2	2013	May	67.9	63.2	365154	339715	25439	7
2	2013	Jun	67.9	63.2	365262	339843	25419	7
2	2013	Jul	67.9	63.1	365373	339939	25434	7
2	2013	Aug	67.8	63.1	365454	340011	25443	7
2	2013	Sep	67.8	63.1	365511	340073	25438	7
2	2013	Oct	67.8	63.1	365552	340102	25450	7
2	2013	Nov	67.8	63.1	365597	340104	25493	7
2	2013	Dec	67.8	63.1	365674	340129	25545	7
2	2014	Jan	67.8	63.1	365570	340015	25555	7
2	2014	Feb	67.9	63.1	365748	340179	25569	7
2	2014	Mar	67.9	63.1	365935	340355	25580	7
2	2014	Apr	67.9	63.1	366066	340463	25603	7
2	2014	May	67.9	63.1	366094	340486	25608	7
2	2014	Jun	67.8	63.1	365994	340451	25543	7
2	2014	Jul	67.8	63.1	365747	340360	25387	6.9
2	2014	Aug	67.7	63	365398	340264	25134	6.9
2	2014	Sep	67.6	63	365010	340227	24783	6.8
2	2014	Oct	67.5	62.9	364676	340294	24382	6.7
2	2014	Nov	67.4	63	364432	340430	24002	6.6
2	2014	Dec	67.4	63	364273	340562	23711	6.5
2	2015	Jan	67.3	63	364114	340583	23531	6.5
2	2015	Feb	67.3	62.9	364029	340541	23488	6.5
2	2015	Mar	67.3	62.9	363930	340425	23505	6.5
2	2015	Apr	67.2	62.9	363786	340270	23516	6.5
2	2015	May	67.2	62.8	363598	340103	23495	6.5
2	2015	Jun	67.1	62.7	363384	339916	23468	6.5
2	2015	Jul	67	62.7	363167	339696	23471	6.5
2	2015	Aug	66.9	62.6	362957	339431	23526	6.5
2	2015	Sep	66.8	62.5	362746	339113	23633	6.5
2	2015	Oct	66.8	62.4	362542	338763	23779	6.6
2	2015	Nov	66.7	62.3	362386	338440	23946	6.6
2	2015	Dec	66.7	62.2	362323	338198	24125	6.7
2	2016	Jan	66.5	62.1	362326	338026	24300	6.7
2	2016	Feb	66.5	62	362337	337879	24458	6.8
2	2016	Mar	66.5	62	362317	337721	24596	6.8
2	2016	Apr	66.4	61.9	362235	337520	24715	6.8
2	2016	May	66.4	61.8	362074	337261	24813	6.9
2	2016	Jun	66.3	61.7	361847	336972	24875	6.9
2	2016	Jul	66.2	61.6	361613	336707	24906	6.9
2	2016	Aug	66.1	61.6	361426	336495	24931	6.9
2	2016	Sep	66.1	61.5	361330	336361	24969	6.9
2	2016	Oct	66.1	61.5	361322	336309	25013	6.9
2	2016	Nov	66.1	61.5	361337	336280	25057	6.9
2	2016	Dec	66.1	61.5	361295	336208	25087	6.9
2	2017	Jan	66.1	61.5	361184	336091	25093	6.9
2	2017	Feb	66	61.4	360999	335923	25076	6.9
2	2017	Mar	66	61.4	360734	335685	25049	6.9
2	2017	Apr	65.9	61.4	360424	335404	25020	6.9
2	2017	May	65.9	61.3	360108	335115	24993	6.9
2	2017	Jun	65.8	61.2	359773	334812	24961	6.9
2	2017	Jul	65.8	61.2	359397	334477	24920	6.9
2	2017	Aug	65.7	61.1	358955	334099	24856	6.9
2	2017	Sep	65.6	61	358433	333676	24757	6.9
2	2017	Oct	65.5	61	357834	333225	24609	6.9
2	2017	Nov	65.3	60.9	357182	332767	24415	6.8
2	2017	Dec	65.2	60.8	356505	332314	24191	6.8
2	2018	Jan	65.1	60.7	355829	331874	23955	6.7
2	2018	Feb	65	60.7	355178	331455	23723	6.7
2	2018	Mar	64.9	60.6	354566	331070	23496	6.6
2	2018	Apr	64.8	60.6	353961	330684	23277	6.6
2	2018	May	64.7	60.5	353358	330286	23072	6.5
2	2018	Jun	64.6	60.4	352793	329915	22878	6.5
2	2018	Jul	64.5	60.4	352275	329595	22680	6.4
2	2018	Aug	64.4	60.3	351779	329316	22463	6.4
2	2018	Sep	64.4	60.3	351291	329057	22234	6.3
2	2018	Oct	64.3	60.2	350796	328786	22010	6.3
2	2018	Nov	64.2	60.2	350301	328499	21802	6.2
2	2018	Dec	64.1	60.2	349804	328196	21608	6.2
2	2019	Jan	64	60.1	349304	327856	21448	6.1
2	2019	Feb	64	60.1	348849	327502	21347	6.1
2	2019	Mar	63.9	60	348497	327179	21318	6.1
2	2019	Apr	63.9	60	348294	326939	21355	6.1
2	2019	May	63.9	60	348202	326774	21428	6.2
2	2019	Jun	63.9	60	348117	326611	21506	6.2
2	2019	Jul	63.9	59.9	347947	326408	21539	6.2
2	2019	Aug	63.8	59.9	347620	326119	21501	6.2
2	2019	Sep	63.8	59.8	347254	325848	21406	6.2
2	2019	Oct	63.7	59.8	346910	325618	21292	6.1
2	2019	Nov	63.7	59.8	346806	325568	21238	6.1
2	2019	Dec	63.7	59.8	346831	325597	21234	6.1
2	2020	Jan	63.6	59.8	346278	325347	20931	6
2	2020	Feb	63.5	59.8	345422	325325	20097	5.8
4	2010	Jan	62.4	55.6	3114963	2775542	339421	10.9
4	2010	Feb	62.3	55.6	3114578	2777742	336836	10.8
4	2010	Mar	62.2	55.5	3112379	2779363	333016	10.7
4	2010	Apr	64.2	57.4	3107972	2779450	328522	10.6
4	2010	May	64	57.4	3101692	2778096	323596	10.4
4	2010	Jun	63.8	57.2	3094080	2775146	318934	10.3
4	2010	Jul	63.6	57.1	3086291	2770957	315334	10.2
4	2010	Aug	63.3	56.9	3079408	2766497	312911	10.2
4	2010	Sep	63.1	56.7	3073232	2762089	311143	10.1
4	2010	Oct	62.9	56.6	3067756	2758460	309296	10.1
4	2010	Nov	62.7	56.5	3062664	2755692	306972	10
4	2010	Dec	62.6	56.3	3057057	2753511	303546	9.9
